Dateiname,Order_Annotationen
Matteo_tenses_Annotator2.json,0
Meine_erste_Liebe_dates_Annotator10.json,0
Meine_erste_Liebe_dates_Annotator2.json,0
Meine_erste_Liebe_duration_Annotator3.json,0
Meine_erste_Liebe_duration_Annotator5.json,0
Meine_erste_Liebe_frequency_Annotator3.json,0
Meine_erste_Liebe_frequency_Annotator5.json,0
Meine_erste_Liebe_narrative_level_Annotator1.json,0
Meine_erste_Liebe_narrative_level_Annotator3.json,0
Meine_erste_Liebe_order_Annotator1.json,12
Meine_erste_Liebe_order_Annotator4.json,13
Meine_erste_Liebe_tenses_Annotator1.json,0
Meine_erste_Liebe_tenses_Annotator2.json,0
Nachbar_Krippelmacher_dates_Annotator2.json,0
Nachbar_Krippelmacher_dates_Annotator3.json,0
Nachbar_Krippelmacher_duration_Annotator3.json,0
Nachbar_Krippelmacher_duration_Annotator4.json,0
Nachbar_Krippelmacher_frequency_Annotator3.json,0
Nachbar_Krippelmacher_frequency_Annotator5.json,0
Nachbar_Krippelmacher_narrative_level_Annotator3.json,0
Nachbar_Krippelmacher_narrative_level_Annotator9.json,0
Nachbar_Krippelmacher_order_Annotator2.json,69
Nachbar_Krippelmacher_order_Annotator3.json,68
Nachbar_Krippelmacher_tenses_Annotator2.json,0
Nachbar_Krippelmacher_tenses_Annotator3.json,0
Nervosipopel_dates_Annotator2.json,0
Nervosipopel_dates_Annotator3.json,0
Nervosipopel_duration_Annotator3.json,0
Nervosipopel_duration_Annotator7.json,0
Nervosipopel_frequency_Annotator6.json,0
Nervosipopel_frequency_Annotator8.json,0
Nervosipopel_narrative_level_Annotator1.json,0
Nervosipopel_narrative_level_Annotator3.json,0
Nervosipopel_order_Annotator1.json,11
Nervosipopel_order_Annotator4.json,11
Nervosipopel_tenses_Annotator1.json,0
Nervosipopel_tenses_Annotator3.json,0
Poverino_dates_Annotator1.json,0
Poverino_duration_Annotator3.json,0
Poverino_duration_Annotator4.json,0
Poverino_frequency_Annotator3.json,0
Poverino_frequency_Annotator6.json,0
Poverino_narrative_level_Annotator1.json,0
Poverino_narrative_level_Annotator3.json,0
Poverino_order_Annotator1.json,21
Poverino_order_Annotator3.json,21
Poverino_tenses_Annotator2.json,0
Poverino_tenses_Annotator3.json,0
Reitergeschichte_dates_Annotator3.json,0
Reitergeschichte_dates_Annotator9.json,0
Reitergeschichte_duration_Annotator4.json,0
Reitergeschichte_duration_Annotator6.json,0
Reitergeschichte_frequency_Annotator11.json,0
Reitergeschichte_frequency_Annotator3.json,0
Reitergeschichte_narrative_level_Annotator3.json,0
Reitergeschichte_narrative_level_Annotator9.json,0
Reitergeschichte_order_Annotator3.json,9
Reitergeschichte_order_Annotator8.json,9
Reitergeschichte_tenses_Annotator3.json,0
Reitergeschichte_tenses_Annotator9.json,0
Traumland._Eine_Episode_dates_Annotator10.json,0
Traumland._Eine_Episode_dates_Annotator3.json,0
Traumland._Eine_Episode_dates_Annotator9.json,0
Traumland._Eine_Episode_duration_Annotator4.json,0
Traumland._Eine_Episode_duration_Annotator8.json,0
Traumland._Eine_Episode_frequency_Annotator3.json,0
Traumland._Eine_Episode_frequency_Annotator6.json,0
Traumland._Eine_Episode_narrative_level_Annotator3.json,0
Traumland._Eine_Episode_narrative_level_Annotator9.json,0
Traumland._Eine_Episode_order_Annotator3.json,16
Traumland._Eine_Episode_order_Annotator8.json,16
Traumland._Eine_Episode_tenses_Annotator3.json,0
Traumland._Eine_Episode_tenses_Annotator9.json,0
Veronika_dates_Annotator2.json,0
Veronika_dates_Annotator3.json,0
Veronika_duration_Annotator11.json,0
Veronika_duration_Annotator6.json,0
Veronika_frequency_Annotator11.json,0
Veronika_frequency_Annotator2.json,0
Veronika_narrative_level_Annotator1.json,0
Veronika_narrative_level_Annotator3.json,0
Veronika_order_Annotator2.json,59
Veronika_order_Annotator4.json,52
Veronika_order_Annotator8.json,47
Veronika_tenses_Annotator1.json,0
Veronika_tenses_Annotator3.json,0
